ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL1743185,Microsomal glutathione S-transferase 2,Q99735,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL3734647,Proteinase-activated receptor 2,P55086,SINGLE PROTEIN,Mus musculus,1,2,10090,FALSE
CHEMBL2132,Mast cell protease 9,O35164,SINGLE PROTEIN,Mus musculus,3,3,10090,FALSE
CHEMBL2366240,EC-GI-10,,CELL-LINE,Homo sapiens,112,114,9606,FALSE
CHEMBL615064,Sporothrix,,ORGANISM,Sporothrix,14,53,29907,TRUE
CHEMBL1075444,ESS-1,,CELL-LINE,Homo sapiens,101,102,9606,FALSE
CHEMBL1287621,Fructose-bisphosphate aldolase class II,A0A380PJR2,SINGLE PROTEIN,Yersinia pestis,5,6,632,FALSE
CHEMBL1075476,HuO9,,CELL-LINE,Homo sapiens,74,75,9606,FALSE
CHEMBL2111457,Carbonic anhydrase V,Q9Y2D0|P35218,PROTEIN FAMILY,Homo sapiens,35,54,9606,FALSE
CHEMBL3885568,Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1)/RNA-binding protein EWS,Q01844|Q01543,CHIMERIC PROTEIN,Homo sapiens,18,19,9606,FALSE
CHEMBL3627585,Pseudopodium-enriched atypical kinase 1,Q9H792,SINGLE PROTEIN,Homo sapiens,17,21,9606,FALSE
CHEMBL1075349,Kocuria rhizophila,,ORGANISM,Kocuria rhizophila,308,346,72000,FALSE
CHEMBL2152,Pepsinogen C,P04073,SINGLE PROTEIN,Rattus norvegicus,3,3,10116,FALSE
CHEMBL612448,Bipolaris oryzae,,ORGANISM,Bipolaris oryzae,157,303,101162,FALSE
CHEMBL2007623,PglD,O86157,SINGLE PROTEIN,Campylobacter jejuni,9,9,197,FALSE
CHEMBL612914,Leishmania pifanoi,,ORGANISM,Leishmania pifanoi,97,113,5682,FALSE
CHEMBL3758065,Tryparedoxin peroxidase,Q9GU47,SINGLE PROTEIN,Trypanosoma brucei,2,2,5691,FALSE
CHEMBL612736,Erwinia amylovora,,ORGANISM,Erwinia amylovora,98,182,552,FALSE
CHEMBL4295546,Penicillin-binding protein 1B,G1C7A4,SINGLE PROTEIN,Acinetobacter baumannii,14,20,470,FALSE
CHEMBL612866,Colletotrichum musae,,ORGANISM,Colletotrichum musae,52,107,5464,FALSE
CHEMBL1628483,Amiloride-sensitive sodium channel subunit beta,P51168,SINGLE PROTEIN,Homo sapiens,6,6,9606,FALSE
CHEMBL612310,[Candida] zeylanoides,,ORGANISM,[Candida] zeylanoides,197,216,5493,FALSE
CHEMBL613773,Rubus,,ORGANISM,Rubus,3,6,23216,TRUE
CHEMBL1075351,Microdochium nivale,,ORGANISM,Microdochium nivale,39,39,5520,FALSE
CHEMBL2146295,Probable nicotinate-nucleotide adenylyltransferase,P65502,SINGLE PROTEIN,Staphylococcus aureus (strain N315),252,504,158879,FALSE
CHEMBL2095232,Exodeoxyribonuclease V,P04993|P07648|P08394,PROTEIN COMPLEX,Escherichia coli (strain K12),223,225,83333,FALSE
CHEMBL5465386,Beta-lactamase NDM-1,C7C422,SINGLE PROTEIN,Bacteria,298,401,2,TRUE
CHEMBL614412,Bacteroides thetaiotaomicron,,ORGANISM,Bacteroides thetaiotaomicron,179,564,818,FALSE
CHEMBL615059,Porphyromonas levii,,ORGANISM,Porphyromonas levii,8,13,28114,FALSE
CHEMBL612460,Providencia alcalifaciens,,ORGANISM,Providencia alcalifaciens,11,12,126385,FALSE
CHEMBL612934,Medicago sativa,,ORGANISM,Medicago sativa,229,511,3879,FALSE
CHEMBL1687677,Pancreatic triacylglycerol lipase,P00591,SINGLE PROTEIN,Sus scrofa,269,482,9823,FALSE
CHEMBL3308939,Phospholipase D1,P70496,SINGLE PROTEIN,Rattus norvegicus,30,32,10116,FALSE
CHEMBL2933,Potassium-transporting ATPase alpha chain 2,P54707,SINGLE PROTEIN,Homo sapiens,82,83,9606,FALSE
CHEMBL4879454,Frizzled-1,Q08463,SINGLE PROTEIN,Rattus norvegicus,19,110,10116,FALSE
CHEMBL3301,Prolyl 4-hydroxylase alpha-1 subunit,P54001,SINGLE PROTEIN,Rattus norvegicus,34,36,10116,FALSE
CHEMBL5690,Cell division protein ftsZ,P17865,SINGLE PROTEIN,Bacillus subtilis (strain 168),80,89,224308,FALSE
CHEMBL5452,Serotonin N-acetyltransferase,Q29495,SINGLE PROTEIN,Ovis aries,45,120,9940,FALSE
CHEMBL3137263,PA/PB1,P03433|P03431,PROTEIN-PROTEIN INTERACTION,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),141,167,211044,FALSE
CHEMBL614975,Actinomyces naeslundii,,ORGANISM,Actinomyces naeslundii,81,215,1655,FALSE
CHEMBL3309111,Apoptosis regulator Bcl-2,P10417,SINGLE PROTEIN,Mus musculus,534,542,10090,FALSE
CHEMBL614976,Actinomyces israelii,,ORGANISM,Actinomyces israelii,29,98,1659,FALSE
CHEMBL5291941,BRD2/BRD9,P25440|Q9H8M2,SELECTIVITY GROUP,Homo sapiens,4,12,9606,FALSE
CHEMBL5244,UDP-3-O-acyl-GlcNAc deacetylase,P0A725,SINGLE PROTEIN,Escherichia coli K-12,330,457,83333,FALSE
CHEMBL5291945,BRD7/BRD9,Q9NPI1|Q9H8M2,SELECTIVITY GROUP,Homo sapiens,5,5,9606,FALSE
CHEMBL4013,Human herpesvirus 4 protease/capsid scaffold protein,P03234,SINGLE PROTEIN,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),30,30,10377,FALSE
CHEMBL4523631,CDK9/Cyclin-T2,P50750|O60583,PROTEIN COMPLEX,Homo sapiens,6,7,9606,FALSE
CHEMBL4346,Vasoactive intestinal peptide receptor,A5A0U0,SINGLE PROTEIN,Gallus gallus,6,6,9031,FALSE
CHEMBL5291575,tRNA (guanine-N(1)-)-methyltransferase,P0A873,SINGLE PROTEIN,Escherichia coli (strain K12),38,44,83333,FALSE
CHEMBL5909,Hypoxia-inducible factor 1-alpha inhibitor,Q9NWT6,SINGLE PROTEIN,Homo sapiens,95,102,9606,FALSE
CHEMBL4105740,Choline/ethanolaminephosphotransferase 1,Q9Y6K0,SINGLE PROTEIN,Homo sapiens,49,65,9606,FALSE
CHEMBL614987,Mycobacterium marinum,,ORGANISM,Mycobacterium marinum,449,594,1781,FALSE
CHEMBL5291953,Conserved protein,O53728,SINGLE PROTEIN,Mycobacterium tuberculosis,1,13,83332,FALSE
CHEMBL4523984,MMP-1/MMP-2,P08253|P03956,SELECTIVITY GROUP,Homo sapiens,87,87,9606,FALSE
CHEMBL2111375,Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2),P35968|Q02763,SELECTIVITY GROUP,Homo sapiens,14,14,9606,FALSE
CHEMBL4470,Signal peptidase I,P00803,SINGLE PROTEIN,Escherichia coli K-12,126,496,83333,FALSE
CHEMBL613270,Phytopythium vexans,,ORGANISM,Phytopythium vexans,4,4,907947,FALSE
CHEMBL614397,Shigella sp.,,ORGANISM,Shigella sp.,41,79,625,TRUE
CHEMBL613306,Streptomyces galilaeus,,ORGANISM,Streptomyces galilaeus,2,2,33899,FALSE
CHEMBL3308928,Eukaryotic translation initiation factor 4B,P23588,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL613210,Legionella,,ORGANISM,Legionella,1,1,445,TRUE
CHEMBL1641337,Efflux transporter,Q3S5C3,SINGLE PROTEIN,Salmonella newport,9,20,108619,FALSE
CHEMBL5429,Ribosomal protein S6 kinase beta-1,Q8BSK8,SINGLE PROTEIN,Mus musculus,1,2,10090,FALSE
CHEMBL4880,Triosephosphate isomerase,P60174,SINGLE PROTEIN,Homo sapiens,21,22,9606,FALSE
CHEMBL5465251,MDM2-HDAC3,Q00987|O15379,PROTEIN-PROTEIN INTERACTION,Homo sapiens,4,20,9606,FALSE
CHEMBL4378,Phospholipase A2 group 1B,Q9Z0Y2,SINGLE PROTEIN,Mus musculus,45,51,10090,FALSE
CHEMBL3440,Beta-1 adrenergic receptor,P34971,SINGLE PROTEIN,Mus musculus,51,53,10090,FALSE
CHEMBL2146306,Rac GTPase-activating protein 1,Q9H0H5,SINGLE PROTEIN,Homo sapiens,2057,2057,9606,FALSE
CHEMBL612570,SW1573,,CELL-LINE,Homo sapiens,787,1060,9606,FALSE
CHEMBL3168,Mast cell protease 3,P50339,SINGLE PROTEIN,Rattus norvegicus,5,5,10116,FALSE
CHEMBL1075276,Caspase-4,P70343,SINGLE PROTEIN,Mus musculus,3,5,10090,FALSE
CHEMBL613459,Artemia,,ORGANISM,Artemia,538,698,6660,TRUE
CHEMBL615041,Echinococcus multilocularis,,ORGANISM,Echinococcus multilocularis,11,28,6211,FALSE
CHEMBL4256,Sterol-C5-desaturase,O93875,SINGLE PROTEIN,Candida albicans,12,12,5476,FALSE
CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Q15116|Q9NZQ7,PROTEIN COMPLEX,Homo sapiens,1504,1906,9606,FALSE
CHEMBL2079845,GTPase NRas,P01111,SINGLE PROTEIN,Homo sapiens,4,8,9606,FALSE
CHEMBL4461,NAD-dependent deacetylase sirtuin 3,Q9NTG7,SINGLE PROTEIN,Homo sapiens,947,1365,9606,FALSE
CHEMBL613928,[Candida] haemuloni,,ORGANISM,[Candida] haemuloni,22,44,45357,FALSE
CHEMBL2073715,Solute carrier family 22 member 21,Q9WTN6,SINGLE PROTEIN,Mus musculus,7,8,10090,FALSE
CHEMBL614408,Haemophilus parainfluenzae,,ORGANISM,Haemophilus parainfluenzae,34,65,729,FALSE
CHEMBL4483232,CL1-0,,CELL-LINE,Homo sapiens,6,56,9606,FALSE
CHEMBL5350,Bone morphogenetic protein 4,P12644,SINGLE PROTEIN,Homo sapiens,33,33,9606,FALSE
CHEMBL613168,Vaccinia virus WR,,ORGANISM,Vaccinia virus WR,1,86,10254,FALSE
CHEMBL2146300,Glycosyltransferase-like protein LARGE1,O95461,SINGLE PROTEIN,Homo sapiens,99,104,9606,FALSE
CHEMBL359,Bacillus subtilis,,ORGANISM,Bacillus subtilis,22631,33505,1423,FALSE
CHEMBL5291977,GTPase KRas/RAF1,P04049|P01116,PROTEIN-PROTEIN INTERACTION,Homo sapiens,4,4,9606,FALSE
CHEMBL613467,Culicidae,,ORGANISM,Culicidae,32,80,7157,TRUE
CHEMBL614522,Ara-A,,CELL-LINE,Homo sapiens,2,2,9606,FALSE
CHEMBL612357,Trichophyton schoenleinii,,ORGANISM,Trichophyton schoenleinii,9,9,34386,FALSE
CHEMBL5291523,CTP synthase 1,P17812,SINGLE PROTEIN,Homo sapiens,266,280,9606,FALSE
CHEMBL614418,Peptostreptococcus,,ORGANISM,Peptostreptococcus,3,3,1257,TRUE
CHEMBL612593,NCI-H295R,,CELL-LINE,Homo sapiens,37,47,9606,FALSE
CHEMBL2134,Cyclin-dependent kinase 4,P30285,SINGLE PROTEIN,Mus musculus,3,3,10090,FALSE
CHEMBL614187,NALM-6,,CELL-LINE,Homo sapiens,448,592,9606,FALSE
CHEMBL3862,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",P67774,SINGLE PROTEIN,Bos taurus,47,49,9913,FALSE
CHEMBL4802026,Cereblon/Histone deacetylase 2,P70288|Q8C7D2,PROTEIN-PROTEIN INTERACTION,Mus musculus,4,4,10090,FALSE
CHEMBL4296559,Carnobacterium funditum,,ORGANISM,Carnobacterium funditum,2,2,2752,FALSE
CHEMBL2367168,Leuciscus idus,,ORGANISM,Leuciscus idus,1,1,69811,FALSE
CHEMBL5926,"Glyceraldehyde-3-phosphate dehydrogenase, glycosomal",P22513,SINGLE PROTEIN,Trypanosoma cruzi,47,75,5693,FALSE
CHEMBL2073666,Solute carrier family 22 member 8,Q9R1U7,SINGLE PROTEIN,Rattus norvegicus,65,98,10116,FALSE
CHEMBL1075206,Cell division protein ftsZ,P47204,SINGLE PROTEIN,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),9,9,208964,FALSE
CHEMBL2672,Muscarinic acetylcholine receptor M1,Q8WMX0,SINGLE PROTEIN,Bos taurus,35,39,9913,FALSE
CHEMBL4837,Adhesin protein fimH,P08191,SINGLE PROTEIN,Escherichia coli K-12,195,338,83333,FALSE
CHEMBL2073672,Solute carrier family 22 member 8,O88909,SINGLE PROTEIN,Mus musculus,58,129,10090,FALSE
CHEMBL2096984,Pancreatic elastase,P08419|P00772,PROTEIN FAMILY,Sus scrofa,330,395,9823,FALSE
CHEMBL1075387,8505C,,CELL-LINE,Homo sapiens,518,586,9606,FALSE
CHEMBL3309040,Beta-galactosidase,P00723,SINGLE PROTEIN,Kluyveromyces lactis,1,1,284590,FALSE
CHEMBL2724,Estrogen receptor alpha,P06211,SINGLE PROTEIN,Rattus norvegicus,146,180,10116,FALSE
CHEMBL4888471,Orthohantavirus hantanense,,ORGANISM,Orthohantavirus hantanense,22,22,3052480,FALSE
CHEMBL612566,CA46,,CELL-LINE,Homo sapiens,224,271,9606,FALSE
CHEMBL4879469,Tyrosine-protein kinase Mer,Q60805,SINGLE PROTEIN,Mus musculus,34,37,10090,FALSE
CHEMBL5305045,"Voltage-gated potassium channel, IKs; KCNQ1(Kv7.1)/KCNE1(MinK)",Q9Z0N7|P15383,PROTEIN COMPLEX,Rattus norvegicus,7,7,10116,FALSE
CHEMBL2169728,Pancreatic lipase-related protein 2,P54317,SINGLE PROTEIN,Homo sapiens,4,17,9606,FALSE
CHEMBL4106147,Na+/K+ ATPase alpha-1/beta-1,P06685|P07340,PROTEIN COMPLEX,Rattus norvegicus,4,4,10116,FALSE
CHEMBL4296303,Adenosyl-chloride synthase,A4X3Q0,SINGLE PROTEIN,Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / CNB-440),2,6,369723,FALSE
CHEMBL4523382,Histone acetyltransferase KAT6A,Q8BZ21,SINGLE PROTEIN,Mus musculus,1,1,10090,FALSE
CHEMBL3771,Human herpes virus 5 capsid protein P40,P16753,SINGLE PROTEIN,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),264,342,10360,FALSE
CHEMBL4925,Adenylate kinase 1,P00568,SINGLE PROTEIN,Homo sapiens,6,18,9606,FALSE
CHEMBL5291644,Staphylococcus delphini,,ORGANISM,Staphylococcus delphini,11,11,53344,FALSE
CHEMBL2095159,Serotonin 1 (5-HT1) receptor,P28564|P30940|P19327|P28565,PROTEIN FAMILY,Rattus norvegicus,372,409,10116,FALSE
CHEMBL612664,Galleria mellonella,,ORGANISM,Galleria mellonella,28,128,7137,FALSE
CHEMBL3364,"Inositol 1,4,5-trisphosphate binding protein",Q62688,SINGLE PROTEIN,Rattus norvegicus,2,3,10116,FALSE
CHEMBL614395,Shigella boydii,,ORGANISM,Shigella boydii,254,323,621,FALSE
CHEMBL4879456,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Q09326,SINGLE PROTEIN,Rattus norvegicus,3,3,10116,FALSE
CHEMBL3108648,Protein arginine N-methyltransferase 8,Q9NR22,SINGLE PROTEIN,Homo sapiens,121,143,9606,FALSE
CHEMBL3891,Calpain 1,P07384,SINGLE PROTEIN,Homo sapiens,987,1277,9606,FALSE
CHEMBL613868,KYSE-510,,CELL-LINE,Homo sapiens,186,289,9606,FALSE
CHEMBL5855,Serine/threonine-protein kinase Nek1,Q96PY6,SINGLE PROTEIN,Homo sapiens,1333,1934,9606,FALSE
CHEMBL612302,Plumeria rubra,,ORGANISM,Plumeria rubra,3,3,62097,FALSE
CHEMBL4105711,"Opioid receptor, delta 1b",B3DH72,SINGLE PROTEIN,Danio rerio,9,9,7955,FALSE
CHEMBL3407326,Pantothenate kinase 1,Q8TE04,SINGLE PROTEIN,Homo sapiens,30,31,9606,FALSE
CHEMBL3500,Glycine receptor alpha-4 chain,Q61603,SINGLE PROTEIN,Mus musculus,5,5,10090,FALSE
CHEMBL1075299,Plasminogen,P20918,SINGLE PROTEIN,Mus musculus,11,11,10090,FALSE
CHEMBL4523691,Protein cereblon/STAT3,P40763|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,30,98,9606,FALSE
CHEMBL1667702,Heat shock protein HSP 90,P11500,SINGLE PROTEIN,Oryctolagus cuniculus,31,63,9986,FALSE
CHEMBL612970,Nadsonia fulvescens,,ORGANISM,Nadsonia fulvescens,3,3,45786,FALSE
CHEMBL5260,Serine/threonine-protein kinase TNNI3K,Q59H18,SINGLE PROTEIN,Homo sapiens,500,639,9606,FALSE
CHEMBL4758,Vascular endothelial growth factor receptor 3,P35917,SINGLE PROTEIN,Mus musculus,3,6,10090,FALSE
CHEMBL614892,S9,,CELL-LINE,Homo sapiens,13,181,9606,FALSE
CHEMBL4106183,Glutaminase 1/2,O94925|Q9UI32,PROTEIN FAMILY,Homo sapiens,3,5,9606,FALSE
CHEMBL6159,Ubiquitin carboxyl-terminal hydrolase isozyme L1,P09936,SINGLE PROTEIN,Homo sapiens,75,114,9606,FALSE
CHEMBL3879851,Ras-related protein Ral-B,P11234,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL2381,Arachidonate 12-lipoxygenase,P16469,SINGLE PROTEIN,Sus scrofa,26,27,9823,FALSE
CHEMBL2367111,Ascochyta,,ORGANISM,Ascochyta,23,23,5453,TRUE
CHEMBL2095234,Adenosine receptors; A2b & A3,P29275|P0DMS8,SELECTIVITY GROUP,Homo sapiens,310,335,9606,FALSE
CHEMBL2366412,Phenol oxidase,B5U2Z5,SINGLE PROTEIN,Plutella xylostella,8,19,51655,FALSE
CHEMBL3882,Hexokinase type IV,P17712,SINGLE PROTEIN,Rattus norvegicus,197,278,10116,FALSE
CHEMBL3832642,T1R2/T1R3,Q8TE23|Q7RTX0,PROTEIN COMPLEX,Homo sapiens,179,282,9606,FALSE
CHEMBL5416,PITSLRE serine/threonine-protein kinase CDC2L2,Q9UQ88,SINGLE PROTEIN,Homo sapiens,278,379,9606,FALSE
CHEMBL613477,Anura,,ORGANISM,Anura,6,46,8342,TRUE
CHEMBL6058,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Q6UWV6,SINGLE PROTEIN,Homo sapiens,69,69,9606,FALSE
CHEMBL1075382,23132-87,,CELL-LINE,Homo sapiens,84,89,9606,FALSE
CHEMBL3528,Neutral sphingomyelinase,Q9ET64,SINGLE PROTEIN,Rattus norvegicus,50,61,10116,FALSE
CHEMBL4296393,Murine norovirus,,ORGANISM,Murine norovirus,23,30,357231,FALSE
CHEMBL1764943,Steroidogenic factor 1,P33242,SINGLE PROTEIN,Mus musculus,4,16,10090,FALSE
CHEMBL4523303,Transcription factor NF-E2 45 kDa subunit,Q16621,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL2073705,ATP-binding cassette sub-family G member 2,Q7TMS5,SINGLE PROTEIN,Mus musculus,29,64,10090,FALSE
CHEMBL3758070,Cyclin-dependent kinase inhibitor 1B,P46527,SINGLE PROTEIN,Homo sapiens,4,10,9606,FALSE
CHEMBL3011,Acetylcholine receptor protein delta chain,Q07001,SINGLE PROTEIN,Homo sapiens,7,14,9606,FALSE
CHEMBL4483233,Caco2/TC7,,CELL-LINE,Homo sapiens,5,5,9606,FALSE
CHEMBL3225,Arachidonate 12-lipoxygenase,P39655,SINGLE PROTEIN,Mus musculus,30,30,10090,FALSE
CHEMBL5169101,Nibrin,O60934,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL614511,41M,,CELL-LINE,Homo sapiens,48,140,9606,FALSE
CHEMBL5291567,Delta and Notch-like epidermal growth factor-related receptor,Q8NFT8,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL2097164,CaM kinase II,Q13557|Q13555|Q13554|Q9UQM7,PROTEIN FAMILY,Homo sapiens,142,149,9606,FALSE
CHEMBL4513195,Klebsiella variicola,,ORGANISM,Klebsiella variicola,3,6,244366,FALSE
CHEMBL612953,Mycobacterium avium complex sp.,,ORGANISM,Mycobacterium avium complex sp.,108,178,37162,FALSE
CHEMBL3254,Monoamine oxidase A,P21398,SINGLE PROTEIN,Bos taurus,446,484,9913,FALSE
CHEMBL3351195,DNA (cytosine-5)-methyltransferase 1,P13864,SINGLE PROTEIN,Mus musculus,25,38,10090,FALSE
CHEMBL1795184,Protein polybromo-1,Q86U86,SINGLE PROTEIN,Homo sapiens,269,788,9606,FALSE
CHEMBL5854,Adenylate cyclase type 10,Q96PN6,SINGLE PROTEIN,Homo sapiens,56,96,9606,FALSE
CHEMBL4483287,B-ALL,,CELL-LINE,,17,49,,FALSE
CHEMBL614366,BxT,,CELL-LINE,,2,2,,FALSE
CHEMBL614195,NCI-H345,,CELL-LINE,Homo sapiens,85,89,9606,FALSE
CHEMBL613203,Echovirus E13,,ORGANISM,Echovirus E13,7,7,47501,FALSE
CHEMBL4007,Hemoglobin beta chain,P02089,SINGLE PROTEIN,Mus musculus,8,22,10090,FALSE
CHEMBL3714703,Taste receptor type 2 member 105,Q9JKT4,SINGLE PROTEIN,Mus musculus,1,1,10090,FALSE
CHEMBL4888454,CDK2/Cyclin C,P24941|P24863,PROTEIN COMPLEX,Homo sapiens,1,1,9606,FALSE
CHEMBL5169290,Cardiac atrium,,TISSUE,Mus musculus,3,3,10090,FALSE
CHEMBL614742,7800C1 cell line,,CELL-LINE,Rattus norvegicus,3,8,10116,FALSE
CHEMBL3707470,Tachykinin-3,Q9UHF0,SINGLE PROTEIN,Homo sapiens,6,6,9606,FALSE
CHEMBL4296455,KMS-12-BM,,CELL-LINE,Homo sapiens,37,62,9606,FALSE
CHEMBL5230,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",P24135,SINGLE PROTEIN,Rattus norvegicus,5,5,10116,FALSE
CHEMBL613299,Ribosome,,SUBCELLULAR,,68,198,,FALSE
CHEMBL4632332,PNT2,,CELL-LINE,Homo sapiens,47,53,9606,FALSE
CHEMBL2366253,697,,CELL-LINE,Homo sapiens,189,196,9606,FALSE
CHEMBL5812,Dynamin-2,P50570,SINGLE PROTEIN,Homo sapiens,36,62,9606,FALSE
CHEMBL3706570,MOLM-14,,CELL-LINE,Homo sapiens,153,418,9606,FALSE
CHEMBL1075237,Nucleoside triphosphate diphosphohydrolase 3,A6I415,SINGLE PROTEIN,Rattus norvegicus,26,27,10116,FALSE
CHEMBL3038454,AMPK alpha1/alpha2,P54646|Q13131,PROTEIN COMPLEX,Homo sapiens,14,14,9606,FALSE
CHEMBL2375206,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",Q09327,SINGLE PROTEIN,Homo sapiens,24,40,9606,FALSE
CHEMBL4296446,Jurkat E6.1,,CELL-LINE,Homo sapiens,104,173,9606,FALSE
CHEMBL2366085,SKM-1,,CELL-LINE,Homo sapiens,138,154,9606,FALSE
CHEMBL2366320,REH,,CELL-LINE,Homo sapiens,225,364,9606,FALSE
CHEMBL4674,MAP kinase p38 gamma,P53778,SINGLE PROTEIN,Homo sapiens,2010,2825,9606,FALSE
CHEMBL2268008,Trehalase,P32358,SINGLE PROTEIN,Bombyx mori,2,4,7091,FALSE
CHEMBL2331050,Disintegrin and metalloproteinase domain-containing protein 15,Q13444,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL5316,Serine/threonine-protein kinase PCTAIRE-3,Q07002,SINGLE PROTEIN,Homo sapiens,285,361,9606,FALSE
CHEMBL4014,Tyrosine-protein kinase ABL2,P42684,SINGLE PROTEIN,Homo sapiens,1141,1901,9606,FALSE
CHEMBL2378,Dual specificity phosphatase Cdc25C,P30307,SINGLE PROTEIN,Homo sapiens,238,296,9606,FALSE
CHEMBL2417354,"Acylglycerol kinase, mitochondrial",Q53H12,SINGLE PROTEIN,Homo sapiens,18,21,9606,FALSE
CHEMBL5288,Retinoblastoma-associated protein,P06400,SINGLE PROTEIN,Homo sapiens,48,82,9606,FALSE
CHEMBL4513121,A375-SM,,CELL-LINE,Homo sapiens,3,8,9606,FALSE
CHEMBL612545,Unchecked,,UNCHECKED,,718922,2005794,,FALSE
CHEMBL3736,Angiotensin-converting enzyme 2,Q9BYF1,SINGLE PROTEIN,Homo sapiens,199,289,9606,FALSE
CHEMBL2900,Excitatory amino acid transporter 2,P31596,SINGLE PROTEIN,Rattus norvegicus,13,39,10116,FALSE
CHEMBL4105735,Ryanodine receptor,Q8TA74,SINGLE PROTEIN,Hemicentrotus pulcherrimus,8,11,7650,FALSE
CHEMBL613657,Septum,,TISSUE,Rattus norvegicus,4,6,10116,FALSE
CHEMBL1075498,MDA-MB-415,,CELL-LINE,Homo sapiens,106,112,9606,FALSE
CHEMBL2354,Superoxide dismutase,P00441,SINGLE PROTEIN,Homo sapiens,105,173,9606,FALSE
CHEMBL4483227,B16-F10-luc2,,CELL-LINE,Mus musculus,6,37,10090,FALSE
CHEMBL2321645,Histone-lysine N-methyltransferase SUV420H1,Q4FZB7,SINGLE PROTEIN,Homo sapiens,50,61,9606,FALSE
CHEMBL4483264,NCM460,,CELL-LINE,Homo sapiens,297,312,9606,FALSE
CHEMBL2366069,ES8,,CELL-LINE,Homo sapiens,147,149,9606,FALSE
CHEMBL4523338,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,Q64518,SINGLE PROTEIN,Mus musculus,1,1,10090,FALSE
CHEMBL4296499,TC-32,,CELL-LINE,Homo sapiens,72,158,9606,FALSE
CHEMBL4296416,GM15850,,CELL-LINE,Homo sapiens,52,303,9606,FALSE
CHEMBL614820,Hepatoblastoma cell line,,CELL-LINE,,6,18,,FALSE
CHEMBL3621037,RNA demethylase ALKBH5,Q6P6C2,SINGLE PROTEIN,Homo sapiens,134,182,9606,FALSE
CHEMBL2446,Corticotropin releasing factor receptor 1,P35347,SINGLE PROTEIN,Mus musculus,62,121,10090,FALSE
CHEMBL3885504,5'-AMP-activated protein kinase catalytic subunit alpha-2/beta-1/gamma-2,P54646|Q9UGJ0|Q9Y478,PROTEIN COMPLEX,Homo sapiens,5,7,9606,FALSE
CHEMBL4523669,SCN5A/SCN1B,Q14524|Q07699,PROTEIN COMPLEX,Homo sapiens,6,6,9606,FALSE
CHEMBL6026,Dual specificity protein phosphatase 1,P28562,SINGLE PROTEIN,Homo sapiens,57,81,9606,FALSE
CHEMBL1641354,Aldehyde oxidase,O54754,SINGLE PROTEIN,Mus musculus,17,19,10090,FALSE
CHEMBL2111426,ETS-related transcription factor Elf-3/Vitamin D3 receptor-interacting protein (ESX/MED23),Q9ULK4|P78545,PROTEIN-PROTEIN INTERACTION,Homo sapiens,8,14,9606,FALSE
CHEMBL3038500,MAST1/MAST2,Q9Y2H9|Q6P0Q8,PROTEIN FAMILY,Homo sapiens,6,6,9606,FALSE
CHEMBL4523435,Transcriptional enhancer factor TEF-5,Q99594,SINGLE PROTEIN,Homo sapiens,39,86,9606,FALSE
CHEMBL3309107,Taste receptor type 2 member 4,Q9NYW5,SINGLE PROTEIN,Homo sapiens,11,14,9606,FALSE
CHEMBL3885525,beta-catenin-B-cell lymphoma 9 protein complex,P35222|O00512,PROTEIN COMPLEX,Homo sapiens,282,660,9606,FALSE
CHEMBL4513181,Zaire ebolavirus,,ORGANISM,Zaire ebolavirus,72,86,186538,FALSE
CHEMBL3309109,Taste receptor type 2 member 60,P59551,SINGLE PROTEIN,Homo sapiens,7,8,9606,FALSE
CHEMBL614244,TCAF,,CELL-LINE,Homo sapiens,1,1,9606,FALSE
CHEMBL2367402,Leaf,,TISSUE,Solanum lycopersicum,10,40,4081,FALSE
CHEMBL2645,Mast cell carboxypeptidase A,P15088,SINGLE PROTEIN,Homo sapiens,9,9,9606,FALSE
